,year,co2_mean,ch4_mean,n2o_mean,sf6_mean,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,Temperature Anomaly,Eruptions_Started_(New),Eruptions_Ended,Eruptions_Total,Volcanoes_Active,Countries,VEI <= 2,VEI 3,VEI 4,VEI 5,VEI 6
142,1892,,,,,1541712153.0,,0.7281050086021423,0.0004722703888546,1380.5361328125,10.93785572052002,0.7986187934875488,5562.22265625,-13.513216018676758,-0.2423584461212158,3.607821702957153,,,0.8954564929008484,,,1331.8292236328125,0.8638637661933899,,,,5.805836200714111,32135.67578125,166745.296875,31646.962890625,,82.3079833984375,139182.625,400.5984802246094,0.0,,,,,7.775008201599121,0.0050430996343493,1.375246524810791,4.921815395355225,4181.68603515625,2.71236515045166,1750.336181640625,1.1353195905685425,278.739013671875,0.1807983368635177,40.20394134521485,0.0260774623602628,0.0,0.0,,99.99999237060548,100.0,100.0,100.0,100.0,100.00000762939452,100.0,100.00000762939452,,100.0,100.0,100.0,,,100.0,100.0,100.0,,100.0,0.023901954293251,0.0737378969788551,0.1014348417520523,0.0037949914112687,7588.02294921875,2120.234375,,,-.28,,,,,,,,,,
143,1893,,,,,1551756342.0,,0.6652460098266602,0.0004287051851861,1363.1795654296875,-17.356672286987305,-1.2572407722473145,5582.06787109375,19.84511947631836,0.3567814826965332,3.5972578525543213,,,0.8784752488136292,,,1312.6827392578125,0.8459335565567017,,,,6.471082210540772,33498.85546875,172327.359375,32959.64453125,,89.5956802368164,143401.515625,443.1423950195313,0.0,,,,,7.28769588470459,0.0046964175999164,1.3541054725646973,4.909788131713867,4218.888671875,2.718782901763916,1757.74658203125,1.1327465772628784,282.1820983886719,0.1818469166755676,42.543888092041016,0.0274166036397218,0.0,0.0,,100.0,100.0,99.99999237060548,100.0,100.0,100.0,100.0,100.00000762939452,,100.0,100.0,100.0,,,100.0,100.0,100.0,,100.0,0.0247057527303695,0.076250210404396,0.1048780307173729,0.0039220657199621,7618.794921875,2101.24169921875,,,-.32,,,,,,,,,,
144,1894,,,,,1561938512.0,,0.6951540112495422,0.0004450584820006,1412.227294921875,49.04780960083008,3.59804630279541,5715.94970703125,133.88185119628906,2.398431301116944,3.659522771835327,,,0.9041504263877868,,,1363.136962890625,0.8727213144302368,,,,7.16623592376709,34911.0859375,178043.3125,34322.78125,,96.29352569580078,147705.234375,484.8396606445313,0.0,,,,,6.697849750518799,0.0042881648987531,1.3834904432296753,4.978295803070068,4303.72216796875,2.7553722858428955,1777.387939453125,1.1379371881484983,285.6624755859375,0.182889699935913,41.697242736816406,0.02669582888484,0.0,0.0,,100.0,100.00000762939452,100.0,100.0,100.0,100.0,99.99999237060548,100.0,,100.0,100.0,99.99999237060548,,,100.0,100.0,100.0,,100.0,0.0255405232310295,0.0788228213787078,0.1084140464663505,0.0040507074445486,7775.79150390625,2160.927001953125,,,-.31,,,,,,,,,,
145,1895,,,,,1572272041.0,,0.7258419990539551,0.0004616516525857,1495.9638671875,83.736572265625,5.929398536682129,5786.03125,70.08153533935547,1.2260675430297852,3.680044412612915,,,0.9514663219451904,,,1439.659423828125,0.9156554341316224,,,,7.892077922821045,36407.046875,183829.328125,35762.44140625,,103.33567810058594,151995.296875,533.3760986328125,0.0,,,,,7.042153835296631,0.0044789668172597,1.436621904373169,5.007028579711914,4290.0673828125,2.728578329086304,1800.44775390625,1.145124912261963,289.137451171875,0.1838978379964828,48.53646087646485,0.0308702681213617,0.0,0.0,,100.0,100.0,100.0,100.00000762939452,100.0,99.99999237060548,100.00000762939452,100.00000762939452,,100.0,100.0,100.0,,,100.0,100.0,100.0,,100.0,0.0263914484530687,0.0814269855618476,0.1119993478059768,0.0041809142567217,7872.4111328125,2258.760498046875,,,-.23,,,,,,,,,,
146,1896,,,,,1582693744.0,,0.7908560037612915,0.0004996898351237,1545.4508056640625,49.486846923828125,3.3080220222473145,5850.7119140625,64.68096160888672,1.1178851127624512,3.696679830551148,,,0.9764686226844788,,,1485.2437744140625,0.9384278059005736,,,,8.682933807373047,37952.49609375,189680.0625,37247.68359375,,110.18364715576172,156300.5625,585.9443969726562,0.0,,,,,6.847963809967041,0.0043267775326967,1.4633760452270508,5.027683734893799,4305.26123046875,2.7202110290527344,1817.200439453125,1.1481692790985107,292.5643310546875,0.1848521381616592,52.56827163696289,0.0332144312560558,0.0,0.0,,100.0,100.0,100.0,100.00000762939452,100.0,99.99998474121094,100.00000762939452,100.00000762939452,,100.0,100.0,100.0,,,100.0,100.0,100.0,,100.0,0.0272559598088264,0.0840602815151214,0.1156289055943489,0.0043126638047397,7957.28369140625,2316.075927734375,,,-.12,,,,,,,,,,
147,1897,,,,,1593261169.0,,0.9135550260543824,0.0005733868456445,1618.4052734375,72.95449829101562,4.720592498779297,5993.8564453125,143.1444549560547,2.446615695953369,3.762005090713501,,,1.0157815217971802,,,1554.677001953125,0.975782871246338,,,,9.59648895263672,39570.90234375,195673.921875,38802.36328125,,117.4712905883789,160676.0,641.4714965820312,0.0,,,,,7.287642955780029,0.0045740418136119,1.507359504699707,5.099725723266602,4375.451171875,2.7462234497070312,1838.6737060546875,1.15403151512146,295.9004821777344,0.1857200264930725,55.52710723876953,0.0348512269556522,0.0,0.0,,100.00000762939452,100.0,100.0,100.0,100.0,100.0,100.00000762939452,100.00001525878906,,99.99999237060548,100.0,100.0,,,100.0,100.0,100.0,,100.0,0.0281422231346368,0.0867580249905586,0.1193461641669273,0.0044459160417318,8125.1953125,2401.617431640625,,,-.12,,,,,,,,,,
148,1898,,,,,1603953574.0,,1.0068049430847168,0.0006277020438574,1706.966552734375,88.561279296875,5.472135543823242,6098.2216796875,104.36505889892578,1.741194725036621,3.801993846893311,,,1.064224362373352,,,1640.3310546875,1.0226798057556152,,,,10.603294372558594,41277.87109375,201772.140625,40442.6953125,,125.93146514892578,165067.265625,698.6400146484375,0.0,,,,,8.460175514221191,0.005274576600641,1.5611443519592283,5.146961212158203,4391.2548828125,2.737769365310669,1861.34912109375,1.1604756116867063,299.1033020019531,0.186478778719902,57.16853332519531,0.0356422625482082,0.0,0.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.00000762939452,100.0000228881836,,100.0,100.0,100.0,,,100.0,100.0,100.0,,100.0,0.029055243358016,0.0895027816295623,0.1231386363506317,0.0045806104317307,8255.4873046875,2504.003173828125,,,-.28,,,,,,,,,,
149,1899,,,,,1615300901.0,,1.2902159690856934,0.0007987465360201,1864.4241943359373,157.45765686035156,9.224414825439451,6291.4404296875,193.2190704345703,3.16845178604126,3.8949031829833984,,,1.1542271375656128,,,1792.2039794921875,1.1095170974731443,,,,11.893509864807127,43142.29296875,208063.578125,42234.89453125,,136.83554077148438,169494.28125,758.6658325195312,0.0,,,,,10.904064178466797,0.0067504844628274,1.6617329120635986,5.251851558685303,4427.01611328125,2.740675926208496,1892.904541015625,1.171858787536621,302.1300354003906,0.1870425939559936,60.02584457397461,0.0371607802808284,0.0,0.0,,100.0,100.0,100.00000762939452,100.0,100.0,99.99999237060548,100.00001525878906,100.00000762939452,,100.00000762939452,100.0,100.0,,,100.0,100.0,100.0,,100.0,0.0300028789788484,0.0923345759510994,0.1270541250705719,0.0047166678123176,8483.3203125,2684.19873046875,,,-.18,,,,,,,,,,
150,1900,,,,,1627273655.0,3503708270156.0,1.394621968269348,0.0008570298086851,1962.8837890625,98.45964813232422,5.280971527099609,6423.62060546875,132.17996215820312,2.1009445190429688,3.947474002838135,1.833377718925476,,1.2062407732009888,0.5602303743362427,,1882.64453125,1.156931757926941,,,,13.288131713867188,45105.17578125,214487.1875,44117.5390625,,148.37713623046875,173955.015625,825.9688720703125,0.0,,,,,11.541600227355955,0.0070925992913544,1.7209241390228271,5.312475681304932,4460.73681640625,2.741233587265014,1919.4464111328125,1.1795474290847778,304.9381408691406,0.1873920410871505,67.30303192138672,0.0413593798875808,0.0,0.0,,100.00000762939452,100.0,100.0,100.0,100.0,99.99999237060548,100.0,100.00000762939452,,100.00001525878906,100.0,100.0,,,100.0,100.0,100.0,,100.0,0.0309631992131471,0.0952258855104446,0.1310430765151977,0.0048539899289608,8644.8515625,2800.414794921875,,,-.09,,,,,,,,,,
151,1901,,,,,1639887187.0,,1.66621994972229,0.0010160576784983,2025.628173828125,62.74431991577149,3.196537494659424,6611.0751953125,187.4544677734375,2.91820764541626,4.031420707702637,,,1.2352241277694702,,,1936.3555908203125,1.180785894393921,,,,14.954352378845217,47130.8046875,221098.265625,46053.8984375,,161.23777770996094,178540.46875,900.714599609375,0.0,,,,,12.860639572143556,0.0078423926606774,1.7526793479919434,5.400432586669922,4585.44677734375,2.796196460723877,1940.2713623046875,1.183173656463623,307.8686828613281,0.1877377033233642,74.74574279785156,0.0455798096954822,0.0,0.0,,100.0,100.0,100.0,100.0,100.00000762939452,100.0,100.0,100.00001525878906,,100.00001525878906,100.00000762939452,100.00000762939452,,,100.0,100.0,100.0,,100.0,0.0319323167204856,0.0982016324996948,0.1351265758275985,0.0049926317296922,8856.099609375,2874.196533203125,,,-.17,,,,,,,,,,
