,year,atmospheric co2 mean,atmospheric ch4 mean,atmospheric n2o mean,atmospheric sf6 mean,co2 emissions,co2 emissions growth%,methane emissions,nitrous oxide emissions,primary_energy_consumption,Eruptions_Total,Volcanoes_Active,ch4 emissions growth%,atmospheric co2 growth%,atmospheric ch4 growth%,Temperature Anomaly
226,1976,332.03,1644.84,316.36,4.21,17862.4921875,5.144751071929932,6544.5791015625,1955.473876953125,70744.765625,61.0,56.0,1.4935416013557523,0.27179657536313684,0.0,-0.1
227,1977,333.84,1644.84,316.36,4.21,18358.0390625,2.774226665496826,6627.55859375,2001.85205078125,73306.171875,73.0,65.0,1.2679118228961173,0.5451314640243288,0.0,0.18
228,1978,335.41,1644.84,316.36,4.21,19024.7421875,3.6316752433776855,6657.3515625,2040.12109375,76179.0390625,58.0,56.0,0.4495315783114462,0.4702851665468577,0.0,0.07
229,1979,336.84,1644.84,316.36,4.21,19508.58984375,2.5432586669921875,6825.82470703125,2098.113037109375,78698.640625,65.0,60.0,2.5306331346572897,0.42634387764226567,0.0,0.16
230,1980,338.76,1644.84,316.36,4.21,19409.79296875,-0.5064308643341064,6785.66748046875,2117.527099609375,78010.5625,73.0,67.0,-0.5883131824515497,0.570003562522281,0.0,0.25
231,1981,340.12,1644.84,316.36,4.21,18879.755859375,-2.730768918991089,6610.77978515625,2069.155029296875,77654.7890625,60.0,56.0,-2.5773101292670297,0.4014641634195293,0.0,0.32
232,1982,341.48,1644.84,316.36,4.21,18729.7421875,-0.7945775985717773,6683.25146484375,2127.09765625,77277.59375,64.0,59.0,1.0962652219973723,0.39985887333882086,0.0,0.14
233,1983,343.15,1644.84,316.36,4.21,18901.775390625,0.9185075759887696,6684.61572265625,2165.24853515625,78599.125,58.0,55.0,0.02041308515288165,0.48904767482720324,0.0,0.31
234,1984,344.87,1644.84,316.36,4.21,19457.25,2.9387354850769043,6767.443359375,2177.69189453125,82129.4765625,64.0,59.0,1.239078507355651,0.5012385254262064,0.0,0.15
235,1985,346.35,1657.29,316.36,4.21,20144.86328125,3.533971309661865,6857.224609375,2176.9140625,84332.8828125,60.0,54.0,1.326664225059604,0.4291472148925779,0.7569125264463406,0.12
236,1986,347.61,1670.09,316.36,4.21,20438.044921875,1.455366611480713,6942.07958984375,2184.726318359375,86200.78125,75.0,67.0,1.2374537119979712,0.3637938501515725,0.772345214174952,0.18
237,1987,349.31,1682.71,316.36,4.21,21106.189453125,3.2691240310668945,7003.9501953125,2231.982666015625,89321.4296875,64.0,62.0,0.8912402208592685,0.48905382468857894,0.7556478992150284,0.32
238,1988,351.69,1693.19,316.36,4.21,21918.755859375,3.8498997688293457,7115.8515625,2229.20703125,92666.5546875,64.0,62.0,1.5976893619602306,0.6813432194898494,0.6228048802229713,0.39
239,1989,353.2,1704.53,316.36,4.21,22200.212890625,1.2840867042541504,7274.31640625,2249.943603515625,94454.03125,57.0,55.0,2.226927337623197,0.42935539822002156,0.6697417301070763,0.27
240,1990,354.45,1714.46,316.36,4.21,22732.14453125,2.396059036254883,7320.9853515625,2266.201904296875,95856.2890625,60.0,56.0,0.6415578139054023,0.3539071347678391,0.5825652819252181,0.45
241,1991,355.7,1724.78,316.36,4.21,23205.591796875,2.0827174186706543,7265.9091796875,2263.283447265625,96516.40625,67.0,65.0,-0.7523054511131555,0.3526590492312076,0.6019388028883688,0.4
242,1992,356.54,1735.47,316.36,4.21,22520.423828125,-2.9525935649871826,7268.78955078125,2271.714111328125,97104.8828125,61.0,57.0,0.03964226668016213,0.23615406241215275,0.6197891905054487,0.22
243,1993,357.21,1736.48,316.36,4.21,22749.873046875,1.018846035003662,7261.67431640625,2256.919921875,97894.8125,60.0,58.0,-0.09788747253296481,0.18791720424073954,0.058197491169531546,0.23
244,1994,358.96,1742.06,316.36,4.21,22974.59765625,0.9878039360046388,7336.2958984375,2286.922607421875,99137.25,62.0,58.0,1.0276084933010354,0.4899078973153115,0.32133972173591374,0.31
245,1995,360.97,1748.88,316.36,4.21,23516.638671875,2.359306812286377,7426.24609375,2342.963134765625,101315.359375,65.0,62.0,1.2260982457326763,0.559950969467371,0.3914905341951602,0.44
246,1996,362.74,1751.31,316.36,4.21,24233.4765625,3.048217296600342,7512.80810546875,2393.537109375,104245.8359375,61.0,59.0,1.1656227200927516,0.49034545807129515,0.13894606834086165,0.33
247,1997,363.88,1754.51,316.36,4.21,24380.322265625,0.6059646606445312,7485.22998046875,2350.1416015625,105269.265625,55.0,51.0,-0.3670814509414311,0.31427468710369943,0.18272036361353106,0.46
248,1998,366.84,1765.55,316.36,4.21,24295.712890625,-0.3470361232757568,7419.23291015625,2378.56591796875,105852.3984375,59.0,56.0,-0.8816972956703584,0.8134549851599449,0.6292355130492311,0.61
249,1999,368.54,1772.3,316.36,4.38,24837.771484375,2.2310853004455566,7436.0380859375,2398.701416015625,107613.984375,70.0,67.0,0.22650826554111436,0.4634172936430092,0.38231712497522885,0.38
250,2000,369.71,1773.22,316.36,4.58,25511.482421875,2.7124524116516118,7544.74072265625,2390.2509765625,110416.3984375,75.0,67.0,1.4618353949036544,0.3174689314592527,0.0519099475258189,0.39
